Question,Answer
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.
Where is the restaurant located?,"We are located on MG Road, Indore, near the metro station."
Do you have parking available?,"Yes, we provide free parking for both two-wheelers and cars."
Is the restaurant kid-friendly?,"Yes, we have high chairs and a kids' menu for children."
Do you offer free Wi-Fi?,"Yes, complimentary Wi-Fi is available for all guests."
Do you have air conditioning?,"Yes, our dining hall is fully air-conditioned."
Do you allow pets?,Pets are allowed in the outdoor seating area only.
Is smoking allowed?,"Smoking is not permitted inside, but we have a designated smoking area."
Do you have live music?,"Yes, we host live music on weekends from 8 PM onwards."
Do you serve alcohol?,"No, we are a pure vegetarian restaurant and do not serve alcohol."
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.
Where is the restaurant located?,"We are located on MG Road, Indore, near the metro station."
Do you have parking available?,"Yes, we provide free parking for both two-wheelers and cars."
Is the restaurant kid-friendly?,"Yes, we have high chairs and a kids' menu for children."
Do you offer free Wi-Fi?,"Yes, complimentary Wi-Fi is available for all guests."
Do you have air conditioning?,"Yes, our dining hall is fully air-conditioned."
Do you allow pets?,Pets are allowed in the outdoor seating area only.
Is smoking allowed?,"Smoking is not permitted inside, but we have a designated smoking area."
Do you have live music?,"Yes, we host live music on weekends from 8 PM onwards."
Do you serve alcohol?,"No, we are a pure vegetarian restaurant and do not serve alcohol."
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.
Where is the restaurant located?,"We are located on MG Road, Indore, near the metro station."
Do you have parking available?,"Yes, we provide free parking for both two-wheelers and cars."
Is the restaurant kid-friendly?,"Yes, we have high chairs and a kids' menu for children."
Do you offer free Wi-Fi?,"Yes, complimentary Wi-Fi is available for all guests."
Do you have air conditioning?,"Yes, our dining hall is fully air-conditioned."
Do you allow pets?,Pets are allowed in the outdoor seating area only.
Is smoking allowed?,"Smoking is not permitted inside, but we have a designated smoking area."
Do you have live music?,"Yes, we host live music on weekends from 8 PM onwards."
Do you serve alcohol?,"No, we are a pure vegetarian restaurant and do not serve alcohol."
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.
Where is the restaurant located?,"We are located on MG Road, Indore, near the metro station."
Do you have parking available?,"Yes, we provide free parking for both two-wheelers and cars."
Is the restaurant kid-friendly?,"Yes, we have high chairs and a kids' menu for children."
Do you offer free Wi-Fi?,"Yes, complimentary Wi-Fi is available for all guests."
Do you have air conditioning?,"Yes, our dining hall is fully air-conditioned."
Do you allow pets?,Pets are allowed in the outdoor seating area only.
Is smoking allowed?,"Smoking is not permitted inside, but we have a designated smoking area."
Do you have live music?,"Yes, we host live music on weekends from 8 PM onwards."
Do you serve alcohol?,"No, we are a pure vegetarian restaurant and do not serve alcohol."
What are your opening hours?,We are open daily from 10:00 AM to 11:00 PM.
Where is the restaurant located?,"We are located on MG Road, Indore, near the metro station."
Do you have parking available?,"Yes, we provide free parking for both two-wheelers and cars."
Is the restaurant kid-friendly?,"Yes, we have high chairs and a kids' menu for children."
Do you offer free Wi-Fi?,"Yes, complimentary Wi-Fi is available for all guests."
Do you have air conditioning?,"Yes, our dining hall is fully air-conditioned."
Do you allow pets?,Pets are allowed in the outdoor seating area only.
Is smoking allowed?,"Smoking is not permitted inside, but we have a designated smoking area."
Do you have live music?,"Yes, we host live music on weekends from 8 PM onwards."
Do you serve alcohol?,"No, we are a pure vegetarian restaurant and do not serve alcohol."
Do you serve vegetarian dishes?,"Yes, we are a pure vegetarian restaurant."
Do you serve vegan food?,"Yes, we offer vegan-friendly dishes like salads and pasta."
Do you have gluten-free options?,"Yes, several of our items are gluten-free."
What’s your most popular dish?,Our Paneer Butter Masala with Garlic Naan is the most popular.
Can I see your menu?,"Sure, our menu includes Dal Tadka, Paneer Masala, Veg Biryani, Roti, Naan, and more."
Do you serve breakfast?,"Yes, breakfast is available from 8 AM to 11 AM with dishes like poha, parathas, and idlis."
Do you serve desserts?,"Yes, we have gulab jamun, rasmalai, and ice creams for dessert."
Do you offer seasonal dishes?,"Yes, we update our menu with seasonal fruits and vegetables."
Do you provide calorie information?,"Yes, we can provide calorie details on request."
Can I customize my dish?,"Yes, we allow customization such as less spicy, no onion/garlic, etc."
Do you serve vegetarian dishes?,"Yes, we are a pure vegetarian restaurant."
Do you serve vegan food?,"Yes, we offer vegan-friendly dishes like salads and pasta."
Do you have gluten-free options?,"Yes, several of our items are gluten-free."
What’s your most popular dish?,Our Paneer Butter Masala with Garlic Naan is the most popular.
Can I see your menu?,"Sure, our menu includes Dal Tadka, Paneer Masala, Veg Biryani, Roti, Naan, and more."
Do you serve breakfast?,"Yes, breakfast is available from 8 AM to 11 AM with dishes like poha, parathas, and idlis."
Do you serve desserts?,"Yes, we have gulab jamun, rasmalai, and ice creams for dessert."
Do you offer seasonal dishes?,"Yes, we update our menu with seasonal fruits and vegetables."
Do you provide calorie information?,"Yes, we can provide calorie details on request."
Can I customize my dish?,"Yes, we allow customization such as less spicy, no onion/garlic, etc."
Do you serve vegetarian dishes?,"Yes, we are a pure vegetarian restaurant."
Do you serve vegan food?,"Yes, we offer vegan-friendly dishes like salads and pasta."
